target-names,no-steps,concentration-required-mM,amount-required-uL,batch-tag,reactant-1-1,reactant-2-1,reaction-product-smiles-1,reaction-name-1,reaction-recipe-1,reaction-groupby-column-1,reactant-1-2,reactant-2-2,reaction-product-smiles-2,reaction-name-2,reaction-recipe-2,reaction-groupby-column-2,reactant-1-3,reactant-2-3,reaction-product-smiles-3,reaction-name-3,reaction-recipe-3,reaction-groupby-column-3
C26023,1,,,,O=C1NCCN1c1ccc(Br)cc1,NCc1ccc(Br)c(F)c1,O=C1NCCN1c1ccc(NCc2ccc(Br)c(F)c2)cc1,Buchwald-Hartwig_amination,,,,,,,,,,,,,,
C35541,1,,,,CC(N)c1ccc(C(=O)O)cc1,Nc1c[nH]c2ccc(F)cc12,CC(N)c1ccc(C(=O)Nc2c[nH]c3ccc(F)cc23)cc1,Amidation,,,,,,,,,,,,,,
C50546,1,,,,CCC(C#N)(CC)C(=O)O,CCOC(=O)c1cc(N)n(C)n1,CCOC(=O)c1cc(NC(=O)C(C#N)(CC)CC)n(C)n1,Amidation,,,,,,,,,,,,,,
C64567,1,,,,CCI,CCC(=O)c1ccc(O)c(Cl)c1,CCOc1ccc(C(=O)CC)cc1Cl,Williamson_ether_synthesis,,,,,,,,,,,,,,
C77014,1,,,,NC1(C(F)F)CCC1,Nc1ccccc1CS(N)(=O)=O,NS(=O)(=O)Cc1ccccc1NC(=O)NC1(C(F)F)CCC1,Formation_of_urea_from_two_amines,,,,,,,,,,,,,,
C26048,1,,,,O=C1NC(=O)N(c2ccc(Br)cc2)C1=O,NCc1cccc(F)c1,O=C1NC(=O)N(c2ccc(NCc3cccc(F)c3)cc2)C1=O,Buchwald-Hartwig_amination,,,,,,,,,,,,,,
C64589,1,,,,O=C1CCc2cc(O)ccc21,ClCCBr,O=C1CCc2cc(OCCCl)ccc21,Williamson_ether_synthesis,,,,,,,,,,,,,,
C35570,1,,,,CC(N)c1ccc(C(=O)O)cc1,Nc1c[nH]c2cc(Br)ccc12,CC(N)c1ccc(C(=O)Nc2c[nH]c3cc(Br)ccc23)cc1,Amidation,,,,,,,,,,,,,,
C64590,1,,,,CCC(=O)c1ccc(O)cc1,ClCCBr,CCC(=O)c1ccc(OCCCl)cc1,Williamson_ether_synthesis,,,,,,,,,,,,,,
C64592,1,,,,CCC(=O)c1ccc(O)cc1,O=CCBr,CCC(=O)c1ccc(OCC=O)cc1,Williamson_ether_synthesis,,,,,,,,,,,,,,
C64593,1,,,,O=C1CCc2cc(O)ccc21,O=CCBr,O=CCOc1ccc2c(c1)CCC2=O,Williamson_ether_synthesis,,,,,,,,,,,,,,
