target-names,no-steps,concentration-required-mM,amount-required-uL,batch-tag,reactant-1-1,reactant-2-1,reaction-product-smiles-1,reaction-name-1,reaction-recipe-1,reaction-groupby-column-1,reactant-1-2,reactant-2-2,reaction-product-smiles-2,reaction-name-2,reaction-recipe-2,reaction-groupby-column-2,reactant-1-3,reactant-2-3,reaction-product-smiles-3,reaction-name-3,reaction-recipe-3,reaction-groupby-column-3
C65434,1,,,,CCC(=O)c1ccc(O)cc1,CC(C)(F)CI,CCC(=O)c1ccc(OCC(C)(C)F)cc1,Williamson_ether_synthesis,,,,,,,,,,,,,,
C66377,1,,,,CCC(=O)c1ccc(O)cc1,CCC(N)CI,CCC(=O)c1ccc(OCC(N)CC)cc1,Williamson_ether_synthesis,,,,,,,,,,,,,,
C62145,1,,,,CC(CC(=O)O)C(F)(F)F,COC(=O)c1c(OCCO)nn(C)c1N,COC(=O)c1c(OCCO)nn(C)c1NC(=O)CC(C)C(F)(F)F,Amidation,,,,,,,,,,,,,,
C60987,1,,,,N#CCC1CC(N)C1,O=C1CCCCN1C1CCNCC1,N#CCC1CC(NC(=O)N2CCC(N3CCCCC3=O)CC2)C1,Formation_of_urea_from_two_amines,,,,,,,,,,,,,,
C71823,1,,,,CC(O)CI,O=C(CCl)c1ccc(O)cc1,CC(O)COc1ccc(C(=O)CCl)cc1,Williamson_ether_synthesis,,,,,,,,,,,,,,
C82231,1,,,,CC(=O)c1ccc(O)cc1,CCCBr,CCCOc1ccc(C(C)=O)cc1,Williamson_ether_synthesis,,,,,,,,,,,,,,
C20014,1,,,,O=C(NC1CCCNC1)c1ccccc1,O=C(O)C1CCNC1=O,O=C(NC1CCCN(C(=O)C2CCNC2=O)C1)c1ccccc1,Amidation,,,,,,,,,,,,,,
C59338,1,,,,CC(C)(C)C(=O)Nc1ccc(C(=O)O)cn1,CC1(N)CC2(CC2)C1,CC1(NC(=O)c2ccc(NC(=O)C(C)(C)C)nc2)CC2(CC2)C1,Amidation,,,,,,,,,,,,,,
C99830,1,,,,O=C(O)CCl,NC(=O)c1ccc(N)cc1,NC(=O)c1ccc(NC(=O)CCl)cc1,Amidation,,,,,,,,,,,,,,
C82523,1,,,,NCC(=O)c1ccc(O)cc1,CCCBr,CCCOc1ccc(C(=O)CN)cc1,Williamson_ether_synthesis,,,,,,,,,,,,,,
