Code,Long code,Experiment code,Compound code,Smiles,Centroid res,Downloaded,ConformerSites upload name,CanonSites upload name,CrystalformSites upload name,Quatassemblies upload name,Crystalforms upload name,ConformerSites short tag,CanonSites short tag,CrystalformSites short tag,Quatassemblies short tag,Crystalforms short tag,ConformerSites alias,CanonSites alias,CrystalformSites alias,Quatassemblies alias,Crystalforms alias,Pose,[Other] P2 Wave 1,[Other] P3 compound design,[Other] New,[Other] Active site fragment,[Other] S1 site,[Other] S1' site,[Other] S2 site,[Other] S3 site,[Other] S5 site,[Other] Covalent,[Series] Piperidine series,[Other] Sun-roof open,[Other] Fragment Screen,[Other] upload_1 2024-12-06,[Other] S4 site,[Other] Bogyo covalents,[Series] Indazole series,[Other] upload_061224,[Other] upload_2 2024-12-12
A4305a,A71EV2A-x4305_A_201_v1,A71EV2A-x4305,ASAP-0035414-001,CC(C)Oc1ccccc1NC(=O)N1CCC[C@H](C(N)=O)C1,A71EV2A-x0526/A/133/A_v1,False,1a - A71EV2A-x0526/A/147,1 - A71EV2A-x0526/A/147/1,F5i - A71EV2A-x3175/A/201/1,A1 - monomer,F5 - A71EV2A/x3178/new/long/dials/041024,1a - A0526/A/147,1 - A0526/A/147/1,F5i - A3175/A/201,A1 - monomer,F5 - A71EV2A/x3178/new/long/dials/041024,1a - A0526/A/147,1 - Active Site,F5i - A3175/A/201,A1 - monomer,F5 - A71EV2A/x3178/new/long/dials/041024,A4305a,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
A4312a,A71EV2A-x4312_A_201_v1,A71EV2A-x4312,ASAP-0035288-001,NC(=O)[C@H]1CC(=O)N(Cc2cccc3c2OCC3)C1,A71EV2A-x0526/A/133/A_v1,False,1a - A71EV2A-x0526/A/147,1 - A71EV2A-x0526/A/147/1,F5i - A71EV2A-x3175/A/201/1,A1 - monomer,F5 - A71EV2A/x3178/new/long/dials/041024,1a - A0526/A/147,1 - A0526/A/147/1,F5i - A3175/A/201,A1 - monomer,F5 - A71EV2A/x3178/new/long/dials/041024,1a - A0526/A/147,1 - Active Site,F5i - A3175/A/201,A1 - monomer,F5 - A71EV2A/x3178/new/long/dials/041024,A4312a,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
A4315a,A71EV2A-x4315_A_201_v1,A71EV2A-x4315,ASAP-0035340-001,NC(=O)[C@H]1CCC(=O)N(Cc2cccc3c2OCO3)C1,A71EV2A-x0526/A/133/A_v1,False,1a - A71EV2A-x0526/A/147,1 - A71EV2A-x0526/A/147/1,F1a - A71EV2A-x0375/A/201/1,A1 - monomer,F1 - A71/2A/open,1a - A0526/A/147,1 - A0526/A/147/1,F1a - A0375/A/201,A1 - monomer,F1 - A71/2A/open,1a - A0526/A/147,1 - Active Site,F1a - A0375/A/201,A1 - monomer,F1 - A71/2A/open,A4315a,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
A4317a,A71EV2A-x4317_A_201_v1,A71EV2A-x4317,ASAP-0035363-001,COc1ccccc1CC(=O)N1C[C@@H](C(N)=O)CC12CC2,A71EV2A-x0526/A/133/A_v1,False,1a - A71EV2A-x0526/A/147,1 - A71EV2A-x0526/A/147/1,F5i - A71EV2A-x3175/A/201/1,A1 - monomer,F5 - A71EV2A/x3178/new/long/dials/041024,1a - A0526/A/147,1 - A0526/A/147/1,F5i - A3175/A/201,A1 - monomer,F5 - A71EV2A/x3178/new/long/dials/041024,1a - A0526/A/147,1 - Active Site,F5i - A3175/A/201,A1 - monomer,F5 - A71EV2A/x3178/new/long/dials/041024,A4317a,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
A4274b,A71EV2A-x4274_C_201_v1,A71EV2A-x4274,ASAP-0032642-001,COc1cccnc1CN1CCC[C@H](C(N)=O)C1,A71EV2A-x0526/A/133/A_v1,False,1a - A71EV2A-x0526/A/147,1 - A71EV2A-x0526/A/147/1,F6p - A71EV2A-x4274/C/201/1,A1 - monomer,F6 - short/long/x4018,1a - A0526/A/147,1 - A0526/A/147/1,F6p - A4274/C/201,A1 - monomer,F6 - short/long/x4018,1a - A0526/A/147,1 - Active Site,F6p - A4274/C/201,A1 - monomer,F6 - short/long/x4018,A4274a,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
A4274a,A71EV2A-x4274_A_201_v1,A71EV2A-x4274,ASAP-0032642-001,COc1cccnc1CN1CCC[C@H](C(N)=O)C1,A71EV2A-x0526/A/133/A_v1,False,1a - A71EV2A-x0526/A/147,1 - A71EV2A-x0526/A/147/1,F6o - A71EV2A-x4274/A/201/1,A1 - monomer,F6 - short/long/x4018,1a - A0526/A/147,1 - A0526/A/147/1,F6o - A4274/A/201,A1 - monomer,F6 - short/long/x4018,1a - A0526/A/147,1 - Active Site,F6o - A4274/A/201,A1 - monomer,F6 - short/long/x4018,A4274a,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
A4283b,A71EV2A-x4283_C_201_v1,A71EV2A-x4283,ASAP-0032613-001,COc1cccnc1CC(=O)N1CCC[C@H](C(N)=O)C1,A71EV2A-x0526/A/133/A_v1,False,1a - A71EV2A-x0526/A/147,1 - A71EV2A-x0526/A/147/1,F7r - A71EV2A-x4283/C/201/1,A1 - monomer,F7 - A712A/x4207/8.1/refmac1/1st/ref,1a - A0526/A/147,1 - A0526/A/147/1,F7r - A4283/C/201,A1 - monomer,F7 - A712A/x4207/8.1/refmac1/1st/ref,1a - A0526/A/147,1 - Active Site,F7r - A4283/C/201,A1 - monomer,F7 - A712A/x4207/8.1/refmac1/1st/ref,A4283a,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
A4283a,A71EV2A-x4283_A_201_v1,A71EV2A-x4283,ASAP-0032613-001,COc1cccnc1CC(=O)N1CCC[C@H](C(N)=O)C1,A71EV2A-x0526/A/133/A_v1,False,1a - A71EV2A-x0526/A/147,1 - A71EV2A-x0526/A/147/1,F7q - A71EV2A-x4283/A/201/1,A1 - monomer,F7 - A712A/x4207/8.1/refmac1/1st/ref,1a - A0526/A/147,1 - A0526/A/147/1,F7q - A4283/A/201,A1 - monomer,F7 - A712A/x4207/8.1/refmac1/1st/ref,1a - A0526/A/147,1 - Active Site,F7q - A4283/A/201,A1 - monomer,F7 - A712A/x4207/8.1/refmac1/1st/ref,A4283a,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
A4386a,A71EV2A-x4386_A_201_v1,A71EV2A-x4386,ASAP-0035410-001,CSc1ccccc1CC(=O)N1CCC[C@H](C(N)=O)C1,A71EV2A-x0526/A/133/A_v1,False,1a - A71EV2A-x0526/A/147,1 - A71EV2A-x0526/A/147/1,F8h - A71EV2A-x0884/A/147/1,A1 - monomer,F8 - A712A/x4271/2.1/refmac1/1st/ref,1a - A0526/A/147,1 - A0526/A/147/1,F8h - A0884/A/147,A1 - monomer,F8 - A712A/x4271/2.1/refmac1/1st/ref,1a - A0526/A/147,1 - Active Site,F8h - A0884/A/147,A1 - monomer,F8 - A712A/x4271/2.1/refmac1/1st/ref,A4386a,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
A0541a,A71EV2A-x0541_A_147_v1,A71EV2A-x0541,Z1246465616,Cc1noc(C)c1C[C@@H](C)C(=O)N(C)C,A71EV2A-x0541/A/97/A_v1,False,3a - A71EV2A-x0541/A/147,3 - A71EV2A-x0541/A/147/1,F1x - A71EV2A-x0541/A/147/1,A1 - monomer,F1 - A71/2A/open,3a - A0541/A/147,3 - A0541/A/147/1,F1x - A0541/A/147,A1 - monomer,F1 - A71/2A/open,3a - A0541/A/147,3 - A0541/A/147/1,F1x - A0541/A/147,A1 - monomer,F1 - A71/2A/open,A0541a,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
A0586a,A71EV2A-x0586_A_147_v1,A71EV2A-x0586,Z1333043510,CN1CCCc2ccc(S(N)(=O)=O)cc21,A71EV2A-x0541/A/97/A_v1,False,3a - A71EV2A-x0541/A/147,3 - A71EV2A-x0541/A/147/1,F1x - A71EV2A-x0541/A/147/1,A1 - monomer,F1 - A71/2A/open,3a - A0541/A/147,3 - A0541/A/147/1,F1x - A0541/A/147,A1 - monomer,F1 - A71/2A/open,3a - A0541/A/147,3 - A0541/A/147/1,F1x - A0541/A/147,A1 - monomer,F1 - A71/2A/open,A0586a,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
A0278b,A71EV2A-x0278_A_147_v1,A71EV2A-x0278,Z1491353358,N[C@H]1CCN(S(=O)(=O)c2ccccc2)C1,A71EV2A-x0541/A/97/A_v1,False,3a - A71EV2A-x0541/A/147,3 - A71EV2A-x0541/A/147/1,F1x - A71EV2A-x0541/A/147/1,A1 - monomer,F1 - A71/2A/open,3a - A0541/A/147,3 - A0541/A/147/1,F1x - A0541/A/147,A1 - monomer,F1 - A71/2A/open,3a - A0541/A/147,3 - A0541/A/147/1,F1x - A0541/A/147,A1 - monomer,F1 - A71/2A/open,A0278b,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
A0305a,A71EV2A-x0305_A_147_v1,A71EV2A-x0305,Z1639162606,CNS(=O)(=O)c1cccc(C)c1F,A71EV2A-x0541/A/97/A_v1,False,3a - A71EV2A-x0541/A/147,3 - A71EV2A-x0541/A/147/1,F1x - A71EV2A-x0541/A/147/1,A1 - monomer,F1 - A71/2A/open,3a - A0541/A/147,3 - A0541/A/147/1,F1x - A0541/A/147,A1 - monomer,F1 - A71/2A/open,3a - A0541/A/147,3 - A0541/A/147/1,F1x - A0541/A/147,A1 - monomer,F1 - A71/2A/open,A0305a,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
A0691a,A71EV2A-x0691_A_201_v1,A71EV2A-x0691,Z285782452,CNc1ccccc1S(C)(=O)=O,A71EV2A-x0541/A/97/A_v1,False,3a - A71EV2A-x0541/A/147,3 - A71EV2A-x0541/A/147/1,F1x - A71EV2A-x0541/A/147/1,A1 - monomer,F1 - A71/2A/open,3a - A0541/A/147,3 - A0541/A/147/1,F1x - A0541/A/147,A1 - monomer,F1 - A71/2A/open,3a - A0541/A/147,3 - A0541/A/147/1,F1x - A0541/A/147,A1 - monomer,F1 - A71/2A/open,A0691a,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
A0188a,A71EV2A-x0188_A_147_v1,A71EV2A-x0188,Z355202286,CC[C@@H]1CN(S(=O)(=O)N(C)C)CCO1,A71EV2A-x0541/A/97/A_v1,False,3a - A71EV2A-x0541/A/147,3 - A71EV2A-x0541/A/147/1,F1x - A71EV2A-x0541/A/147/1,A1 - monomer,F1 - A71/2A/open,3a - A0541/A/147,3 - A0541/A/147/1,F1x - A0541/A/147,A1 - monomer,F1 - A71/2A/open,3a - A0541/A/147,3 - A0541/A/147/1,F1x - A0541/A/147,A1 - monomer,F1 - A71/2A/open,A0188a,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
A0229b,A71EV2A-x0229_A_201_v1,A71EV2A-x0229,Z426041412,CS(=O)(=O)Nc1ccc(CN)cc1,A71EV2A-x0541/A/97/A_v1,False,3a - A71EV2A-x0541/A/147,3 - A71EV2A-x0541/A/147/1,F1x - A71EV2A-x0541/A/147/1,A1 - monomer,F1 - A71/2A/open,3a - A0541/A/147,3 - A0541/A/147/1,F1x - A0541/A/147,A1 - monomer,F1 - A71/2A/open,3a - A0541/A/147,3 - A0541/A/147/1,F1x - A0541/A/147,A1 - monomer,F1 - A71/2A/open,A0229b,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
A0332a,A71EV2A-x0332_A_147_v1,A71EV2A-x0332,Z45527714,CNS(=O)(=O)c1ccccc1Cl,A71EV2A-x0541/A/97/A_v1,False,3a - A71EV2A-x0541/A/147,3 - A71EV2A-x0541/A/147/1,F1x - A71EV2A-x0541/A/147/1,A1 - monomer,F1 - A71/2A/open,3a - A0541/A/147,3 - A0541/A/147/1,F1x - A0541/A/147,A1 - monomer,F1 - A71/2A/open,3a - A0541/A/147,3 - A0541/A/147/1,F1x - A0541/A/147,A1 - monomer,F1 - A71/2A/open,A0332a,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
A0354a,A71EV2A-x0354_A_147_v1,A71EV2A-x0354,Z54615640,C[C@@]1(NC(=O)C2CC2)CCS(=O)(=O)C1,A71EV2A-x0541/A/97/A_v1,False,3a - A71EV2A-x0541/A/147,3 - A71EV2A-x0541/A/147/1,F1x - A71EV2A-x0541/A/147/1,A1 - monomer,F1 - A71/2A/open,3a - A0541/A/147,3 - A0541/A/147/1,F1x - A0541/A/147,A1 - monomer,F1 - A71/2A/open,3a - A0541/A/147,3 - A0541/A/147/1,F1x - A0541/A/147,A1 - monomer,F1 - A71/2A/open,A0354a,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
A0428a,A71EV2A-x0428_A_147_v1,A71EV2A-x0428,Z751811134,CN(C)S(=O)(=O)c1cccnc1,A71EV2A-x0541/A/97/A_v1,False,3a - A71EV2A-x0541/A/147,3 - A71EV2A-x0541/A/147/1,F1x - A71EV2A-x0541/A/147/1,A1 - monomer,F1 - A71/2A/open,3a - A0541/A/147,3 - A0541/A/147/1,F1x - A0541/A/147,A1 - monomer,F1 - A71/2A/open,3a - A0541/A/147,3 - A0541/A/147/1,F1x - A0541/A/147,A1 - monomer,F1 - A71/2A/open,A0428a,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
A0717a,A71EV2A-x0717_A_147_v1,A71EV2A-x0717,Z94597856,Cc1n[nH]c(C)c1S(=O)(=O)N(C)C,A71EV2A-x0541/A/97/A_v1,False,3a - A71EV2A-x0541/A/147,3 - A71EV2A-x0541/A/147/1,F1x - A71EV2A-x0541/A/147/1,A1 - monomer,F1 - A71/2A/open,3a - A0541/A/147,3 - A0541/A/147/1,F1x - A0541/A/147,A1 - monomer,F1 - A71/2A/open,3a - A0541/A/147,3 - A0541/A/147/1,F1x - A0541/A/147,A1 - monomer,F1 - A71/2A/open,A0717a,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
A2448a,A71EV2A-x2448_A_246_v1,A71EV2A-x2448,ASAP-0018764-002,CN(C)S(=O)(=O)c1cccnc1,A71EV2A-x0541/A/97/A_v1,False,3a - A71EV2A-x0541/A/147,3 - A71EV2A-x0541/A/147/1,F1x - A71EV2A-x0541/A/147/1,A1 - monomer,F1 - A71/2A/open,3a - A0541/A/147,3 - A0541/A/147/1,F1x - A0541/A/147,A1 - monomer,F1 - A71/2A/open,3a - A0541/A/147,3 - A0541/A/147/1,F1x - A0541/A/147,A1 - monomer,F1 - A71/2A/open,A2448a,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
A2458a,A71EV2A-x2458_A_246_v1,A71EV2A-x2458,ASAP-0018402-002,CNS(=O)(=O)c1ccccc1Cl,A71EV2A-x0541/A/97/A_v1,False,3a - A71EV2A-x0541/A/147,3 - A71EV2A-x0541/A/147/1,F1x - A71EV2A-x0541/A/147/1,A1 - monomer,F1 - A71/2A/open,3a - A0541/A/147,3 - A0541/A/147/1,F1x - A0541/A/147,A1 - monomer,F1 - A71/2A/open,3a - A0541/A/147,3 - A0541/A/147/1,F1x - A0541/A/147,A1 - monomer,F1 - A71/2A/open,A2458a,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
A0554b,A71EV2A-x0554_A_147_v1,A71EV2A-x0554,Z1255459547,CC(=O)Nc1cccc2cc[nH]c12,A71EV2A-x0554/A/58/A_v1,False,14a - A71EV2A-x0554/A/147,14 - A71EV2A-x0554/A/147/1,F1ak - A71EV2A-x0554/A/147/1,A1 - monomer,F1 - A71/2A/open,14a - A0554/A/147,14 - A0554/A/147/1,F1ak - A0554/A/147,A1 - monomer,F1 - A71/2A/open,14a - A0554/A/147,14 - A0554/A/147/1,F1ak - A0554/A/147,A1 - monomer,F1 - A71/2A/open,A0554b,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
A0900a,A71EV2A-x0900_A_147_v1,A71EV2A-x0900,Z760031264,Nc1ccc(-c2ncno2)cc1,A71EV2A-x0900/A/27/A_v1,False,10a - A71EV2A-x0900/A/147,10 - A71EV2A-x0900/A/147/1,F2ag - A71EV2A-x0900/A/147/1,A1 - monomer,F2 - A71/2A/open/small/cell,10a - A0900/A/147,10 - A0900/A/147/1,F2ag - A0900/A/147,A1 - monomer,F2 - A71/2A/open/small/cell,10a - A0900/A/147,10 - A0900/A/147/1,F2ag - A0900/A/147,A1 - monomer,F2 - A71/2A/open/small/cell,A0900a,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
A1128a,A71EV2A-x1128_A_147_v1,A71EV2A-x1128,Z57663553,Oc1nnc(-c2ccccc2)o1,A71EV2A-x0900/A/27/A_v1,False,10b - A71EV2A-x1128/A/147,10 - A71EV2A-x0900/A/147/1,F2ag - A71EV2A-x0900/A/147/1,A1 - monomer,F2 - A71/2A/open/small/cell,10b - A1128/A/147,10 - A0900/A/147/1,F2ag - A0900/A/147,A1 - monomer,F2 - A71/2A/open/small/cell,10b - A1128/A/147,10 - A0900/A/147/1,F2ag - A0900/A/147,A1 - monomer,F2 - A71/2A/open/small/cell,A1128a,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
A1081b,A71EV2A-x1081_A_201_v1,A71EV2A-x1081,Z1741976468,O=C1NCCN1,A71EV2A-x1081/A/99/A_v1,False,15a - A71EV2A-x1081/A/201,15 - A71EV2A-x1081/A/201/1,F1al - A71EV2A-x1081/A/201/1,A1 - monomer,F1 - A71/2A/open,15a - A1081/A/201,15 - A1081/A/201/1,F1al - A1081/A/201,A1 - monomer,F1 - A71/2A/open,15a - A1081/A/201,15 - A1081/A/201/1,F1al - A1081/A/201,A1 - monomer,F1 - A71/2A/open,A1081b,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
A0514b,A71EV2A-x0514_A_250_v1,A71EV2A-x0514,Z1201620232,COc1ccc2sc(N)nc2c1,A71EV2A-x3181/A/20/A_v1,False,4a - A71EV2A-x3181/A/202,4 - A71EV2A-x3181/A/202/1,F3y - A71EV2A-x0514/A/250/1,A1 - monomer,F3 - A71/2A/open/long/cell,4a - A3181/A/202,4 - A3181/A/202/1,F3y - A0514/A/250,A1 - monomer,F3 - A71/2A/open/long/cell,4a - A3181/A/202,4 - A3181/A/202/1,F3y - A0514/A/250,A1 - monomer,F3 - A71/2A/open/long/cell,A0514b,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
A0528b,A71EV2A-x0528_A_201_v1,A71EV2A-x0528,Z1217960891,CN1CC[C@@H](Oc2cccc(F)c2)C1=O,A71EV2A-x3181/A/20/A_v1,False,4a - A71EV2A-x3181/A/202,4 - A71EV2A-x3181/A/202/1,F2z - A71EV2A-x0528/A/201/1,A1 - monomer,F2 - A71/2A/open/small/cell,4a - A3181/A/202,4 - A3181/A/202/1,F2z - A0528/A/201,A1 - monomer,F2 - A71/2A/open/small/cell,4a - A3181/A/202,4 - A3181/A/202/1,F2z - A0528/A/201,A1 - monomer,F2 - A71/2A/open/small/cell,A0528b,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
A0333a,A71EV2A-x0333_A_201_v1,A71EV2A-x0333,Z45617795,CS(=O)(=O)NCCc1ccccc1,A71EV2A-x3181/A/20/A_v1,False,4a - A71EV2A-x3181/A/202,4 - A71EV2A-x3181/A/202/1,F2z - A71EV2A-x0528/A/201/1,A1 - monomer,F2 - A71/2A/open/small/cell,4a - A3181/A/202,4 - A3181/A/202/1,F2z - A0528/A/201,A1 - monomer,F2 - A71/2A/open/small/cell,4a - A3181/A/202,4 - A3181/A/202/1,F2z - A0528/A/201,A1 - monomer,F2 - A71/2A/open/small/cell,A0333a,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
A0351b,A71EV2A-x0351_A_302_v1,A71EV2A-x0351,Z53860899,CCS(=O)(=O)NCc1ccc2c(c1)OCO2,A71EV2A-x3181/A/20/A_v1,False,4a - A71EV2A-x3181/A/202,4 - A71EV2A-x3181/A/202/1,F2z - A71EV2A-x0528/A/201/1,A1 - monomer,F2 - A71/2A/open/small/cell,4a - A3181/A/202,4 - A3181/A/202/1,F2z - A0528/A/201,A1 - monomer,F2 - A71/2A/open/small/cell,4a - A3181/A/202,4 - A3181/A/202/1,F2z - A0528/A/201,A1 - monomer,F2 - A71/2A/open/small/cell,A0351b,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
A0719b,A71EV2A-x0719_A_201_v1,A71EV2A-x0719,Z954606858,C[C@H](CS(N)(=O)=O)c1ccccc1,A71EV2A-x3181/A/20/A_v1,False,4a - A71EV2A-x3181/A/202,4 - A71EV2A-x3181/A/202/1,F2z - A71EV2A-x0528/A/201/1,A1 - monomer,F2 - A71/2A/open/small/cell,4a - A3181/A/202,4 - A3181/A/202/1,F2z - A0528/A/201,A1 - monomer,F2 - A71/2A/open/small/cell,4a - A3181/A/202,4 - A3181/A/202/1,F2z - A0528/A/201,A1 - monomer,F2 - A71/2A/open/small/cell,A0719b,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
A0863a,A71EV2A-x0863_A_147_v1,A71EV2A-x0863,Z55993012,CCN(CC)C(=O)c1ccc(N)cc1,A71EV2A-x3181/A/20/A_v1,False,4a - A71EV2A-x3181/A/202,4 - A71EV2A-x3181/A/202/1,F2z - A71EV2A-x0528/A/201/1,A1 - monomer,F2 - A71/2A/open/small/cell,4a - A3181/A/202,4 - A3181/A/202/1,F2z - A0528/A/201,A1 - monomer,F2 - A71/2A/open/small/cell,4a - A3181/A/202,4 - A3181/A/202/1,F2z - A0528/A/201,A1 - monomer,F2 - A71/2A/open/small/cell,A0863a,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
A1145a,A71EV2A-x1145_A_147_v1,A71EV2A-x1145,Z969111002,Fc1ccc(C[C@@H]2CCCNC2)cc1,A71EV2A-x3181/A/20/A_v1,False,4a - A71EV2A-x3181/A/202,4 - A71EV2A-x3181/A/202/1,F2z - A71EV2A-x0528/A/201/1,A1 - monomer,F2 - A71/2A/open/small/cell,4a - A3181/A/202,4 - A3181/A/202/1,F2z - A0528/A/201,A1 - monomer,F2 - A71/2A/open/small/cell,4a - A3181/A/202,4 - A3181/A/202/1,F2z - A0528/A/201,A1 - monomer,F2 - A71/2A/open/small/cell,A1145a,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
A1146a,A71EV2A-x1146_A_147_v1,A71EV2A-x1146,Z362043378,Oc1cnc(-c2ccccc2)nc1,A71EV2A-x3181/A/20/A_v1,False,4a - A71EV2A-x3181/A/202,4 - A71EV2A-x3181/A/202/1,F2z - A71EV2A-x0528/A/201/1,A1 - monomer,F2 - A71/2A/open/small/cell,4a - A3181/A/202,4 - A3181/A/202/1,F2z - A0528/A/201,A1 - monomer,F2 - A71/2A/open/small/cell,4a - A3181/A/202,4 - A3181/A/202/1,F2z - A0528/A/201,A1 - monomer,F2 - A71/2A/open/small/cell,A1146a,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
A3181b,A71EV2A-x3181_A_202_v1,A71EV2A-x3181,ASAP-0031733-001,Cn1nc(C(=O)NCCn2cncn2)c2ccccc21,A71EV2A-x3181/A/20/A_v1,False,4a - A71EV2A-x3181/A/202,4 - A71EV2A-x3181/A/202/1,F1aa - A71EV2A-x3181/A/202/1,A1 - monomer,F1 - A71/2A/open,4a - A3181/A/202,4 - A3181/A/202/1,F1aa - A3181/A/202,A1 - monomer,F1 - A71/2A/open,4a - A3181/A/202,4 - A3181/A/202/1,F1aa - A3181/A/202,A1 - monomer,F1 - A71/2A/open,A3181b,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
A0497a,A71EV2A-x0497_A_147_v1,A71EV2A-x0497,Z1198158918,N#Cc1n[nH]c2ccccc12,A71EV2A-x3977/A/113/A_v1,False,2a - A71EV2A-x3977/A/202,2 - A71EV2A-x3977/A/202/1,F2u - A71EV2A-x0497/A/147/1,A1 - monomer,F2 - A71/2A/open/small/cell,2a - A3977/A/202,2 - A3977/A/202/1,F2u - A0497/A/147,A1 - monomer,F2 - A71/2A/open/small/cell,2a - A3977/A/202,2 - A3977/A/202/1,F2u - A0497/A/147,A1 - monomer,F2 - A71/2A/open/small/cell,A0497a,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
A0515b,A71EV2A-x0515_A_147_v1,A71EV2A-x0515,Z1201621547,COC(=O)c1ccncc1N,A71EV2A-x3977/A/113/A_v1,False,2a - A71EV2A-x3977/A/202,2 - A71EV2A-x3977/A/202/1,F2u - A71EV2A-x0497/A/147/1,A1 - monomer,F2 - A71/2A/open/small/cell,2a - A3977/A/202,2 - A3977/A/202/1,F2u - A0497/A/147,A1 - monomer,F2 - A71/2A/open/small/cell,2a - A3977/A/202,2 - A3977/A/202/1,F2u - A0497/A/147,A1 - monomer,F2 - A71/2A/open/small/cell,A0515b,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
A0269a,A71EV2A-x0269_A_147_v1,A71EV2A-x0269,Z1456069604,O=C(N[C@H]1CCCNC1)c1ccccc1,A71EV2A-x3977/A/113/A_v1,False,2a - A71EV2A-x3977/A/202,2 - A71EV2A-x3977/A/202/1,F1s - A71EV2A-x0152/A/201/1,A1 - monomer,F1 - A71/2A/open,2a - A3977/A/202,2 - A3977/A/202/1,F1s - A0152/A/201,A1 - monomer,F1 - A71/2A/open,2a - A3977/A/202,2 - A3977/A/202/1,F1s - A0152/A/201,A1 - monomer,F1 - A71/2A/open,A0269a,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
A0152b,A71EV2A-x0152_A_201_v1,A71EV2A-x0152,Z31602870,O=C1CN(C(=O)COc2ccccc2)CCN1,A71EV2A-x3977/A/113/A_v1,False,2a - A71EV2A-x3977/A/202,2 - A71EV2A-x3977/A/202/1,F1s - A71EV2A-x0152/A/201/1,A1 - monomer,F1 - A71/2A/open,2a - A3977/A/202,2 - A3977/A/202/1,F1s - A0152/A/201,A1 - monomer,F1 - A71/2A/open,2a - A3977/A/202,2 - A3977/A/202/1,F1s - A0152/A/201,A1 - monomer,F1 - A71/2A/open,A0152b,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
A0194a,A71EV2A-x0194_A_147_v1,A71EV2A-x0194,Z3664805965,Fc1ccccc1CNC1CCOCC1,A71EV2A-x3977/A/113/A_v1,False,2a - A71EV2A-x3977/A/202,2 - A71EV2A-x3977/A/202/1,F1s - A71EV2A-x0152/A/201/1,A1 - monomer,F1 - A71/2A/open,2a - A3977/A/202,2 - A3977/A/202/1,F1s - A0152/A/201,A1 - monomer,F1 - A71/2A/open,2a - A3977/A/202,2 - A3977/A/202/1,F1s - A0152/A/201,A1 - monomer,F1 - A71/2A/open,A0194a,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
