Code,Long code,Experiment code,Compound code,Smiles,Centroid res,Downloaded,ConformerSites upload name,CanonSites upload name,CrystalformSites upload name,Quatassemblies upload name,Crystalforms upload name,ConformerSites short tag,CanonSites short tag,CrystalformSites short tag,Quatassemblies short tag,Crystalforms short tag,ConformerSites alias,CanonSites alias,CrystalformSites alias,Quatassemblies alias,Crystalforms alias,Pose,[Other] P2 Wave 1,[Other] P3 compound design,[Other] New,[Other] Active site fragment,[Other] S1 site,[Other] S1' site,[Other] S2 site,[Other] S3 site,[Other] S5 site,[Other] Covalent,[Series] Piperidine series,[Other] Sun-roof open,[Other] Fragment Screen,[Other] upload_1 2024-12-06,[Other] S4 site,[Other] Bogyo covalents,[Series] Indazole series,[Other] upload_061224,[Other] upload_2 2024-12-12
A3895a,A71EV2A-x3895_A_201_v1,A71EV2A-x3895,ASAP-0032721-001,COc1ccccc1CN1C[C@@H](C(N)=O)CC1=O,A71EV2A-x0526/A/133/A_v1,False,1a - A71EV2A-x0526/A/147,1 - A71EV2A-x0526/A/147/1,F2b - A71EV2A-x0450/A/201/1,A1 - monomer,F2 - A71/2A/open/small/cell,1a - A0526/A/147,1 - A0526/A/147/1,F2b - A0450/A/201,A1 - monomer,F2 - A71/2A/open/small/cell,1a - A0526/A/147,1 - Active Site,F2b - A0450/A/201,A1 - monomer,F2 - A71/2A/open/small/cell,A3895a,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
A3901a,A71EV2A-x3901_A_201_v1,A71EV2A-x3901,ASAP-0032798-001,COc1ccccc1CC(=O)N1CCN[C@H](C(N)=O)C1,A71EV2A-x0526/A/133/A_v1,False,1a - A71EV2A-x0526/A/147,1 - A71EV2A-x0526/A/147/1,F5i - A71EV2A-x3175/A/201/1,A1 - monomer,F5 - A71EV2A/x3178/new/long/dials/041024,1a - A0526/A/147,1 - A0526/A/147/1,F5i - A3175/A/201,A1 - monomer,F5 - A71EV2A/x3178/new/long/dials/041024,1a - A0526/A/147,1 - Active Site,F5i - A3175/A/201,A1 - monomer,F5 - A71EV2A/x3178/new/long/dials/041024,A3901a,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
A3914a,A71EV2A-x3914_A_201_v1,A71EV2A-x3914,ASAP-0032784-001,Cn1cc2c(CC(=O)N3CCC[C@H](C(N)=O)C3)cccc2n1,A71EV2A-x0526/A/133/A_v1,False,1a - A71EV2A-x0526/A/147,1 - A71EV2A-x0526/A/147/1,F8h - A71EV2A-x0884/A/147/1,A1 - monomer,F8 - A712A/x4271/2.1/refmac1/1st/ref,1a - A0526/A/147,1 - A0526/A/147/1,F8h - A0884/A/147,A1 - monomer,F8 - A712A/x4271/2.1/refmac1/1st/ref,1a - A0526/A/147,1 - Active Site,F8h - A0884/A/147,A1 - monomer,F8 - A712A/x4271/2.1/refmac1/1st/ref,A3914a,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
A3936a,A71EV2A-x3936_A_201_v1,A71EV2A-x3936,ASAP-0034437-001,COC[C@]1(C(=O)N2CCC[C@H](C(N)=O)C2)CCCCO1,A71EV2A-x0526/A/133/A_v1,False,1a - A71EV2A-x0526/A/147,1 - A71EV2A-x0526/A/147/1,F5i - A71EV2A-x3175/A/201/1,A1 - monomer,F5 - A71EV2A/x3178/new/long/dials/041024,1a - A0526/A/147,1 - A0526/A/147/1,F5i - A3175/A/201,A1 - monomer,F5 - A71EV2A/x3178/new/long/dials/041024,1a - A0526/A/147,1 - Active Site,F5i - A3175/A/201,A1 - monomer,F5 - A71EV2A/x3178/new/long/dials/041024,A3936a,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
A3956a,A71EV2A-x3956_A_201_v1,A71EV2A-x3956,ASAP-0034398-001,COc1ccccc1CCN1C[C@@H](C(N)=O)CC1=O,A71EV2A-x0526/A/133/A_v1,False,1a - A71EV2A-x0526/A/147,1 - A71EV2A-x0526/A/147/1,F5i - A71EV2A-x3175/A/201/1,A1 - monomer,F5 - A71EV2A/x3178/new/long/dials/041024,1a - A0526/A/147,1 - A0526/A/147/1,F5i - A3175/A/201,A1 - monomer,F5 - A71EV2A/x3178/new/long/dials/041024,1a - A0526/A/147,1 - Active Site,F5i - A3175/A/201,A1 - monomer,F5 - A71EV2A/x3178/new/long/dials/041024,A3956a,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
A3963b,A71EV2A-x3963_C_201_v1,A71EV2A-x3963,ASAP-0034475-001,NC(=O)[C@H]1CCCN(C(=O)Cc2cccnc2N)C1,A71EV2A-x0526/A/133/A_v1,False,1a - A71EV2A-x0526/A/147,1 - A71EV2A-x0526/A/147/1,F7k - A71EV2A-x3509/C/201/1,A1 - monomer,F7 - A712A/x4207/8.1/refmac1/1st/ref,1a - A0526/A/147,1 - A0526/A/147/1,F7k - A3509/C/201,A1 - monomer,F7 - A712A/x4207/8.1/refmac1/1st/ref,1a - A0526/A/147,1 - Active Site,F7k - A3509/C/201,A1 - monomer,F7 - A712A/x4207/8.1/refmac1/1st/ref,A3963a,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
A3963a,A71EV2A-x3963_A_201_v1,A71EV2A-x3963,ASAP-0034475-001,NC(=O)[C@H]1CCCN(C(=O)Cc2cccnc2N)C1,A71EV2A-x0526/A/133/A_v1,False,1a - A71EV2A-x0526/A/147,1 - A71EV2A-x0526/A/147/1,F7j - A71EV2A-x3509/A/201/1,A1 - monomer,F7 - A712A/x4207/8.1/refmac1/1st/ref,1a - A0526/A/147,1 - A0526/A/147/1,F7j - A3509/A/201,A1 - monomer,F7 - A712A/x4207/8.1/refmac1/1st/ref,1a - A0526/A/147,1 - Active Site,F7j - A3509/A/201,A1 - monomer,F7 - A712A/x4207/8.1/refmac1/1st/ref,A3963a,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
A3977a,A71EV2A-x3977_A_201_v1,A71EV2A-x3977,ASAP-0034401-001,COc1ccccc1CC(=O)N(C)CCC(N)=O,A71EV2A-x0526/A/133/A_v1,False,1a - A71EV2A-x0526/A/147,1 - A71EV2A-x0526/A/147/1,F1a - A71EV2A-x0375/A/201/1,A1 - monomer,F1 - A71/2A/open,1a - A0526/A/147,1 - A0526/A/147/1,F1a - A0375/A/201,A1 - monomer,F1 - A71/2A/open,1a - A0526/A/147,1 - Active Site,F1a - A0375/A/201,A1 - monomer,F1 - A71/2A/open,A3977a,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
A3982a,A71EV2A-x3982_A_201_v1,A71EV2A-x3982,ASAP-0034397-001,NC(=O)[C@H]1CCCN(C(=O)C(c2ccccc2)c2ccccc2)C1,A71EV2A-x0526/A/133/A_v1,False,1a - A71EV2A-x0526/A/147,1 - A71EV2A-x0526/A/147/1,F8h - A71EV2A-x0884/A/147/1,A1 - monomer,F8 - A712A/x4271/2.1/refmac1/1st/ref,1a - A0526/A/147,1 - A0526/A/147/1,F8h - A0884/A/147,A1 - monomer,F8 - A712A/x4271/2.1/refmac1/1st/ref,1a - A0526/A/147,1 - Active Site,F8h - A0884/A/147,A1 - monomer,F8 - A712A/x4271/2.1/refmac1/1st/ref,A3982a,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
A3989a,A71EV2A-x3989_A_201_v1,A71EV2A-x3989,ASAP-0034446-001,NC(=O)[C@H]1CCN(C(=O)Cc2cc(C(F)(F)F)ccc2Cl)C1,A71EV2A-x0526/A/133/A_v1,False,1a - A71EV2A-x0526/A/147,1 - A71EV2A-x0526/A/147/1,F8h - A71EV2A-x0884/A/147/1,A1 - monomer,F8 - A712A/x4271/2.1/refmac1/1st/ref,1a - A0526/A/147,1 - A0526/A/147/1,F8h - A0884/A/147,A1 - monomer,F8 - A712A/x4271/2.1/refmac1/1st/ref,1a - A0526/A/147,1 - Active Site,F8h - A0884/A/147,A1 - monomer,F8 - A712A/x4271/2.1/refmac1/1st/ref,A3989a,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
