,1_product_smiles
2413,CSc1ccccc1[C@@H](O)C(=O)N1C[C@H]2C[C@]2(C(N)=O)C1
2414,CSc1ccccc1[C@H](O)C(=O)N1C[C@@H]2C[C@@]2(C(N)=O)C1
2415,CSc1ccccc1[C@@H](O)C(=O)N1C[C@@H]2C[C@@]2(C(N)=O)C1
2416,CSc1ccccc1[C@H](O)C(=O)N1C[C@H]2C[C@@]2(C(N)=O)C1
2417,CSc1ccccc1[C@@H](O)C(=O)N1C[C@H]2C[C@@]2(C(N)=O)C1
2418,O=C1N[C@@H]2C[C@@H]1CN(C(=O)[C@@H]1CSc3cccc(O)c31)C2
2419,O=C1N[C@H]2C[C@@H]1CN(C(=O)[C@@H]1CSc3cccc(O)c31)C2
2420,O=C1N[C@@H]2C[C@H]1CN(C(=O)[C@@H]1CSc3cccc(O)c31)C2
2421,O=C1N[C@H]2C[C@H]1CN(C(=O)[C@@H]1CSc3cccc(O)c31)C2
2422,O=C1N[C@@H]2C[C@@H]1CN(C(=O)[C@H]1CSc3cccc(O)c31)C2
2423,O=C1N[C@H]2C[C@@H]1CN(C(=O)[C@H]1CSc3cccc(O)c31)C2
2424,O=C1N[C@@H]2C[C@H]1CN(C(=O)[C@H]1CSc3cccc(O)c31)C2
2425,O=C1N[C@H]2C[C@H]1CN(C(=O)[C@H]1CSc3cccc(O)c31)C2
2426,CSc1cc(O)ccc1CC(=O)N1CCC[C@H](C(N)=O)C1
2427,CSc1cc(O)ccc1CC(=O)N1CCC[C@@H](C(N)=O)C1
2428,NC(=O)[C@@H]1CCCN(C(=O)[C@@H]2CSc3c(Cl)cccc32)C1
2429,NC(=O)[C@H]1CCCN(C(=O)[C@@H]2CSc3c(Cl)cccc32)C1
2430,NC(=O)[C@@H]1CCCN(C(=O)[C@H]2CSc3c(Cl)cccc32)C1
2431,NC(=O)[C@H]1CCCN(C(=O)[C@H]2CSc3c(Cl)cccc32)C1
2432,CSc1cc(Br)ccc1CC(=O)N1CCC[C@H](C(N)=O)C1
2433,CSc1cc(Br)ccc1CC(=O)N1CCC[C@@H](C(N)=O)C1
2434,NC(=O)[C@@H]1CN(C(=O)[C@@H]2CSc3cccc(O)c32)[C@@H]2C[C@@H]21
2435,NC(=O)[C@H]1CN(C(=O)[C@@H]2CSc3cccc(O)c32)[C@@H]2C[C@H]12
2436,NC(=O)[C@@H]1CN(C(=O)[C@H]2CSc3cccc(O)c32)[C@@H]2C[C@@H]21
2437,NC(=O)[C@H]1CN(C(=O)[C@H]2CSc3cccc(O)c32)[C@@H]2C[C@H]12
2438,NC(=O)[C@@H]1CN(C(=O)[C@@H]2CSc3cccc(O)c32)[C@H]2C[C@H]12
2439,NC(=O)[C@H]1CN(C(=O)[C@@H]2CSc3cccc(O)c32)[C@H]2C[C@H]12
2440,NC(=O)[C@@H]1CN(C(=O)[C@H]2CSc3cccc(O)c32)[C@H]2C[C@H]12
2441,NC(=O)[C@H]1CN(C(=O)[C@H]2CSc3cccc(O)c32)[C@H]2C[C@H]12
2442,NC(=O)[C@@H]1CN(C(=O)[C@@H]2CSc3cccc(O)c32)[C@@H]2C[C@H]21
2443,NC(=O)[C@H]1CN(C(=O)[C@@H]2CSc3cccc(O)c32)[C@@H]2C[C@@H]12
2444,NC(=O)[C@@H]1CN(C(=O)[C@H]2CSc3cccc(O)c32)[C@@H]2C[C@H]21
2445,NC(=O)[C@H]1CN(C(=O)[C@H]2CSc3cccc(O)c32)[C@@H]2C[C@@H]12
2446,NC(=O)[C@@H]1CN(C(=O)[C@@H]2CSc3cccc(O)c32)[C@H]2C[C@@H]12
2447,NC(=O)[C@H]1CN(C(=O)[C@@H]2CSc3cccc(O)c32)[C@H]2C[C@@H]12
2448,NC(=O)[C@@H]1CN(C(=O)[C@H]2CSc3cccc(O)c32)[C@H]2C[C@@H]12
2449,NC(=O)[C@H]1CN(C(=O)[C@H]2CSc3cccc(O)c32)[C@H]2C[C@@H]12
2450,NC(=O)[C@@H]1CN(C(=O)[C@@H]2CSc3c(Cl)cccc32)[C@@H]2C[C@@H]21
2451,NC(=O)[C@H]1CN(C(=O)[C@@H]2CSc3c(Cl)cccc32)[C@@H]2C[C@H]12
2452,NC(=O)[C@@H]1CN(C(=O)[C@H]2CSc3c(Cl)cccc32)[C@@H]2C[C@@H]21
2453,NC(=O)[C@H]1CN(C(=O)[C@H]2CSc3c(Cl)cccc32)[C@@H]2C[C@H]12
2454,NC(=O)[C@@H]1CN(C(=O)[C@@H]2CSc3c(Cl)cccc32)[C@H]2C[C@H]12
2455,NC(=O)[C@H]1CN(C(=O)[C@@H]2CSc3c(Cl)cccc32)[C@H]2C[C@H]12
2456,NC(=O)[C@@H]1CN(C(=O)[C@H]2CSc3c(Cl)cccc32)[C@H]2C[C@H]12
2457,NC(=O)[C@H]1CN(C(=O)[C@H]2CSc3c(Cl)cccc32)[C@H]2C[C@H]12
2458,NC(=O)[C@@H]1CN(C(=O)[C@@H]2CSc3c(Cl)cccc32)[C@@H]2C[C@H]21
2459,NC(=O)[C@H]1CN(C(=O)[C@@H]2CSc3c(Cl)cccc32)[C@@H]2C[C@@H]12
2460,NC(=O)[C@@H]1CN(C(=O)[C@H]2CSc3c(Cl)cccc32)[C@@H]2C[C@H]21
2461,NC(=O)[C@H]1CN(C(=O)[C@H]2CSc3c(Cl)cccc32)[C@@H]2C[C@@H]12
2462,NC(=O)[C@@H]1CN(C(=O)[C@@H]2CSc3c(Cl)cccc32)[C@H]2C[C@@H]12
2463,NC(=O)[C@H]1CN(C(=O)[C@@H]2CSc3c(Cl)cccc32)[C@H]2C[C@@H]12
2464,NC(=O)[C@@H]1CN(C(=O)[C@H]2CSc3c(Cl)cccc32)[C@H]2C[C@@H]12
2465,NC(=O)[C@H]1CN(C(=O)[C@H]2CSc3c(Cl)cccc32)[C@H]2C[C@@H]12
2466,CSc1cc(Br)ccc1CC(=O)N1C[C@@H]2C[C@H](C1)C(=O)N2
2467,CSc1cc(Br)ccc1CC(=O)N1C[C@H]2C[C@H](C1)C(=O)N2
2468,CSc1cc(Br)ccc1CC(=O)N1C[C@@H]2C[C@@H](C1)C(=O)N2
2469,CSc1cc(Br)ccc1CC(=O)N1C[C@H]2C[C@@H](C1)C(=O)N2
2470,NC(=O)[C@@H]1CCCN(C(=O)[C@@H]2CSc3c(Cl)cccc32)C1
2471,NC(=O)[C@H]1CCCN(C(=O)[C@@H]2CSc3c(Cl)cccc32)C1
2472,NC(=O)[C@@H]1CCCN(C(=O)[C@H]2CSc3c(Cl)cccc32)C1
2473,NC(=O)[C@H]1CCCN(C(=O)[C@H]2CSc3c(Cl)cccc32)C1
2474,NC(=O)[C@]12C[C@@H]1CN(C(=O)[C@@H]1CSc3c(Cl)cccc31)C2
2475,NC(=O)[C@@]12C[C@@H]1CN(C(=O)[C@@H]1CSc3c(Cl)cccc31)C2
2476,NC(=O)[C@]12C[C@H]1CN(C(=O)[C@@H]1CSc3c(Cl)cccc31)C2
2477,NC(=O)[C@@]12C[C@H]1CN(C(=O)[C@@H]1CSc3c(Cl)cccc31)C2
2478,NC(=O)[C@]12C[C@@H]1CN(C(=O)[C@H]1CSc3c(Cl)cccc31)C2
2479,NC(=O)[C@@]12C[C@@H]1CN(C(=O)[C@H]1CSc3c(Cl)cccc31)C2
2480,NC(=O)[C@]12C[C@H]1CN(C(=O)[C@H]1CSc3c(Cl)cccc31)C2
2481,NC(=O)[C@@]12C[C@H]1CN(C(=O)[C@H]1CSc3c(Cl)cccc31)C2
2482,NC(=O)[C@@H]1CC(=O)CN(C(=O)[C@@H]2CCSc3ccccc32)C1
2483,NC(=O)[C@H]1CC(=O)CN(C(=O)[C@@H]2CCSc3ccccc32)C1
2484,NC(=O)[C@@H]1CC(=O)CN(C(=O)[C@H]2CCSc3ccccc32)C1
2485,NC(=O)[C@H]1CC(=O)CN(C(=O)[C@H]2CCSc3ccccc32)C1
2486,CSc1c(CC(=O)N2C[C@H](C(N)=O)[C@@H]3C[C@@H]32)cccc1NN
2487,CSc1c(CC(=O)N2C[C@@H](C(N)=O)[C@@H]3C[C@@H]32)cccc1NN
2488,CSc1c(CC(=O)N2C[C@H](C(N)=O)[C@H]3C[C@@H]32)cccc1NN
2489,CSc1c(CC(=O)N2C[C@@H](C(N)=O)[C@H]3C[C@@H]32)cccc1NN
2490,CSc1c(CC(=O)N2C[C@H](C(N)=O)[C@@H]3C[C@H]32)cccc1NN
2491,CSc1c(CC(=O)N2C[C@@H](C(N)=O)[C@@H]3C[C@H]32)cccc1NN
2492,CSc1c(CC(=O)N2C[C@H](C(N)=O)[C@H]3C[C@H]32)cccc1NN
2493,CSc1c(CC(=O)N2C[C@@H](C(N)=O)[C@H]3C[C@H]32)cccc1NN
2494,CSc1cc(Cl)ccc1CC(=O)N1CC[C@H](C)[C@H](C(N)=O)C1
2495,CSc1cc(Cl)ccc1CC(=O)N1CC[C@@H](C)[C@H](C(N)=O)C1
2496,CSc1cc(Cl)ccc1CC(=O)N1CC[C@H](C)[C@@H](C(N)=O)C1
2497,CSc1cc(Cl)ccc1CC(=O)N1CC[C@@H](C)[C@@H](C(N)=O)C1
2498,CSc1cc(Cl)ccc1CC(=O)N1CCC(=O)[C@H](C(N)=O)C1
2499,CSc1cc(Cl)ccc1CC(=O)N1CCC(=O)[C@@H](C(N)=O)C1
2500,CSc1cc(Cl)ccc1CC(=O)N1CC[C@H](F)[C@H](C(N)=O)C1
2501,CSc1cc(Cl)ccc1CC(=O)N1CC[C@@H](F)[C@H](C(N)=O)C1
2502,CSc1cc(Cl)ccc1CC(=O)N1CC[C@H](F)[C@@H](C(N)=O)C1
2503,CSc1cc(Cl)ccc1CC(=O)N1CC[C@@H](F)[C@@H](C(N)=O)C1
2504,CSc1cc(Cl)ccc1CC(=O)N1CCC[C@](F)(C(N)=O)C1
2505,CSc1cc(Cl)ccc1CC(=O)N1CCC[C@@](F)(C(N)=O)C1
2506,CSc1cc(Cl)ccc1CC(=O)N1C[C@H](C(N)=O)CC[C@@H]1C
2507,CSc1cc(Cl)ccc1CC(=O)N1C[C@@H](C(N)=O)CC[C@@H]1C
2508,CSc1cc(Cl)ccc1CC(=O)N1C[C@H](C(N)=O)CC[C@H]1C
2509,CSc1cc(Cl)ccc1CC(=O)N1C[C@@H](C(N)=O)CC[C@H]1C
2510,CNC(=O)[C@@H]1CCCN(C(=O)[C@@H]2CSc3ccc(F)cc32)C1
2511,CNC(=O)[C@H]1CCCN(C(=O)[C@@H]2CSc3ccc(F)cc32)C1
2512,CNC(=O)[C@@H]1CCCN(C(=O)[C@H]2CSc3ccc(F)cc32)C1
2513,CNC(=O)[C@H]1CCCN(C(=O)[C@H]2CSc3ccc(F)cc32)C1
2514,CC[C@H](C(=O)N1CCC[C@H](C(N)=O)C1)c1ccccc1SC
2515,CC[C@@H](C(=O)N1CCC[C@H](C(N)=O)C1)c1ccccc1SC
2516,CC[C@H](C(=O)N1CCC[C@@H](C(N)=O)C1)c1ccccc1SC
2517,CC[C@@H](C(=O)N1CCC[C@@H](C(N)=O)C1)c1ccccc1SC
2518,CSc1c(CC(=O)N2CCC[C@H](C(N)=O)C2)cccc1NN
2519,CSc1c(CC(=O)N2CCC[C@@H](C(N)=O)C2)cccc1NN
2520,NC(=O)[C@@H]1CC(=O)CN(C(=O)[C@@H]2CSc3ccc(F)cc32)C1
2521,NC(=O)[C@H]1CC(=O)CN(C(=O)[C@@H]2CSc3ccc(F)cc32)C1
2522,NC(=O)[C@@H]1CC(=O)CN(C(=O)[C@H]2CSc3ccc(F)cc32)C1
2523,NC(=O)[C@H]1CC(=O)CN(C(=O)[C@H]2CSc3ccc(F)cc32)C1
2524,CSc1cc(Cl)ccc1CC(=O)NN1CCC[C@H](C(N)=O)C1
2525,CSc1cc(Cl)ccc1CC(=O)NN1CCC[C@@H](C(N)=O)C1
2526,CSc1cc(Cl)ccc1CC(=O)N1C[C@H](C)C[C@H](C(N)=O)C1
2527,CSc1cc(Cl)ccc1CC(=O)N1C[C@@H](C)C[C@H](C(N)=O)C1
2528,CSc1cc(Cl)ccc1CC(=O)N1C[C@H](C)C[C@@H](C(N)=O)C1
2529,CSc1cc(Cl)ccc1CC(=O)N1C[C@@H](C)C[C@@H](C(N)=O)C1
2530,CSc1ccc(F)cc1CC(=O)N1C[C@](N)(C(N)=O)[C@@H]2C[C@@H]21
2531,CSc1ccc(F)cc1CC(=O)N1C[C@@](N)(C(N)=O)[C@@H]2C[C@@H]21
2532,CSc1ccc(F)cc1CC(=O)N1C[C@](N)(C(N)=O)[C@H]2C[C@@H]21
2533,CSc1ccc(F)cc1CC(=O)N1C[C@@](N)(C(N)=O)[C@H]2C[C@@H]21
2534,CSc1ccc(F)cc1CC(=O)N1C[C@](N)(C(N)=O)[C@@H]2C[C@H]21
2535,CSc1ccc(F)cc1CC(=O)N1C[C@@](N)(C(N)=O)[C@@H]2C[C@H]21
2536,CSc1ccc(F)cc1CC(=O)N1C[C@](N)(C(N)=O)[C@H]2C[C@H]21
2537,CSc1ccc(F)cc1CC(=O)N1C[C@@](N)(C(N)=O)[C@H]2C[C@H]21
2538,CSc1cc(Cl)ccc1CC(=O)N1CC[C@@H]2CNC(=O)[C@@H]2C1
2539,CSc1cc(Cl)ccc1CC(=O)N1CC[C@H]2CNC(=O)[C@@H]2C1
2540,CSc1cc(Cl)ccc1CC(=O)N1CC[C@@H]2CNC(=O)[C@H]2C1
2541,CSc1cc(Cl)ccc1CC(=O)N1CC[C@H]2CNC(=O)[C@H]2C1
2542,CSc1cc(Cl)ccc1CC(=O)N1CCC[C@]2(CNC2=O)C1
2543,CSc1cc(Cl)ccc1CC(=O)N1CCC[C@@]2(CNC2=O)C1
2544,CSc1c(CC(=O)N2C[C@@H]3C[C@H](C2)C(=O)N3)cccc1NN
2545,CSc1c(CC(=O)N2C[C@H]3C[C@H](C2)C(=O)N3)cccc1NN
2546,CSc1c(CC(=O)N2C[C@@H]3C[C@@H](C2)C(=O)N3)cccc1NN
2547,CSc1c(CC(=O)N2C[C@H]3C[C@@H](C2)C(=O)N3)cccc1NN
2548,CSc1ccccc1C(C)(C)C(=O)N1CCC[C@H](C(N)=O)C1
2549,CSc1ccccc1C(C)(C)C(=O)N1CCC[C@@H](C(N)=O)C1
2550,CSc1cc(Cl)ccc1CC(=O)N1CC[C@H](O)[C@H](C(N)=O)C1
2551,CSc1cc(Cl)ccc1CC(=O)N1CC[C@@H](O)[C@H](C(N)=O)C1
2552,CSc1cc(Cl)ccc1CC(=O)N1CC[C@H](O)[C@@H](C(N)=O)C1
2553,CSc1cc(Cl)ccc1CC(=O)N1CC[C@@H](O)[C@@H](C(N)=O)C1
2554,CSc1ccccc1C(C)(C)C(=O)N1C[C@H](C(N)=O)[C@@H]2C[C@@H]21
2555,CSc1ccccc1C(C)(C)C(=O)N1C[C@@H](C(N)=O)[C@@H]2C[C@@H]21
2556,CSc1ccccc1C(C)(C)C(=O)N1C[C@H](C(N)=O)[C@H]2C[C@@H]21
2557,CSc1ccccc1C(C)(C)C(=O)N1C[C@@H](C(N)=O)[C@H]2C[C@@H]21
2558,CSc1ccccc1C(C)(C)C(=O)N1C[C@H](C(N)=O)[C@@H]2C[C@H]21
2559,CSc1ccccc1C(C)(C)C(=O)N1C[C@@H](C(N)=O)[C@@H]2C[C@H]21
2560,CSc1ccccc1C(C)(C)C(=O)N1C[C@H](C(N)=O)[C@H]2C[C@H]21
2561,CSc1ccccc1C(C)(C)C(=O)N1C[C@@H](C(N)=O)[C@H]2C[C@H]21
2562,O=C(NO)[C@@H]1CCCN(C(=O)[C@@H]2CCSc3ccccc32)C1
2563,O=C(NO)[C@H]1CCCN(C(=O)[C@@H]2CCSc3ccccc32)C1
2564,O=C(NO)[C@@H]1CCCN(C(=O)[C@H]2CCSc3ccccc32)C1
2565,O=C(NO)[C@H]1CCCN(C(=O)[C@H]2CCSc3ccccc32)C1
2566,CSc1cc(Cl)ccc1CC(=O)N1C[C@H](O)C[C@H](C(N)=O)C1
2567,CSc1cc(Cl)ccc1CC(=O)N1C[C@@H](O)C[C@H](C(N)=O)C1
2568,CSc1cc(Cl)ccc1CC(=O)N1C[C@H](O)C[C@@H](C(N)=O)C1
2569,CSc1cc(Cl)ccc1CC(=O)N1C[C@@H](O)C[C@@H](C(N)=O)C1
2570,CNC(=O)[C@@H]1CCCN(C(=O)[C@@H]2CCSc3ccccc32)C1
2571,CNC(=O)[C@H]1CCCN(C(=O)[C@@H]2CCSc3ccccc32)C1
2572,CNC(=O)[C@@H]1CCCN(C(=O)[C@H]2CCSc3ccccc32)C1
2573,CNC(=O)[C@H]1CCCN(C(=O)[C@H]2CCSc3ccccc32)C1
2574,C[C@@H]1[C@H](C(N)=O)CCCN1C(=O)[C@@H]1CCSc2ccccc21
2575,C[C@H]1[C@H](C(N)=O)CCCN1C(=O)[C@@H]1CCSc2ccccc21
2576,C[C@@H]1[C@@H](C(N)=O)CCCN1C(=O)[C@@H]1CCSc2ccccc21
2577,C[C@H]1[C@@H](C(N)=O)CCCN1C(=O)[C@@H]1CCSc2ccccc21
2578,C[C@@H]1[C@H](C(N)=O)CCCN1C(=O)[C@H]1CCSc2ccccc21
2579,C[C@H]1[C@H](C(N)=O)CCCN1C(=O)[C@H]1CCSc2ccccc21
2580,C[C@@H]1[C@@H](C(N)=O)CCCN1C(=O)[C@H]1CCSc2ccccc21
2581,C[C@H]1[C@@H](C(N)=O)CCCN1C(=O)[C@H]1CCSc2ccccc21
2582,CSc1cc(Cl)ccc1CC(=O)N1CCC[C@](C)(C(N)=O)C1
2583,CSc1cc(Cl)ccc1CC(=O)N1CCC[C@@](C)(C(N)=O)C1
2584,CSc1c(CC(=O)N2CCC[C@H](C(N)=O)C2)cccc1NN
2585,CSc1c(CC(=O)N2CCC[C@@H](C(N)=O)C2)cccc1NN
2586,CSc1cc(Cl)ccc1CC(=O)N1CCC[C@](O)(C(N)=O)C1
2587,CSc1cc(Cl)ccc1CC(=O)N1CCC[C@@](O)(C(N)=O)C1
2588,CSc1c(CC(=O)N2C[C@@H]3C[C@]3(C(N)=O)C2)cccc1NN
2589,CSc1c(CC(=O)N2C[C@H]3C[C@]3(C(N)=O)C2)cccc1NN
2590,CSc1c(CC(=O)N2C[C@@H]3C[C@@]3(C(N)=O)C2)cccc1NN
2591,CSc1c(CC(=O)N2C[C@H]3C[C@@]3(C(N)=O)C2)cccc1NN
2592,CSc1ccccc1C(C)(C)C(=O)N1C[C@@H]2C[C@]2(C(N)=O)C1
2593,CSc1ccccc1C(C)(C)C(=O)N1C[C@H]2C[C@]2(C(N)=O)C1
2594,CSc1ccccc1C(C)(C)C(=O)N1C[C@@H]2C[C@@]2(C(N)=O)C1
2595,CSc1ccccc1C(C)(C)C(=O)N1C[C@H]2C[C@@]2(C(N)=O)C1
2596,CSc1cc(Cl)ccc1CC(=O)N1CCC[C@H](C(=O)NO)C1
2597,CSc1cc(Cl)ccc1CC(=O)N1CCC[C@@H](C(=O)NO)C1
2598,C[C@]1(C(N)=O)CCCN(C(=O)[C@@H]2CCSc3ccccc32)C1
2599,C[C@@]1(C(N)=O)CCCN(C(=O)[C@@H]2CCSc3ccccc32)C1
2600,C[C@]1(C(N)=O)CCCN(C(=O)[C@H]2CCSc3ccccc32)C1
2601,C[C@@]1(C(N)=O)CCCN(C(=O)[C@H]2CCSc3ccccc32)C1
2602,NC(=O)[C@@H]1C[C@H](O)CN(C(=O)[C@@H]2CCSc3ccccc32)C1
2603,NC(=O)[C@H]1C[C@H](O)CN(C(=O)[C@@H]2CCSc3ccccc32)C1
2604,NC(=O)[C@@H]1C[C@@H](O)CN(C(=O)[C@@H]2CCSc3ccccc32)C1
2605,NC(=O)[C@H]1C[C@@H](O)CN(C(=O)[C@@H]2CCSc3ccccc32)C1
2606,NC(=O)[C@@H]1C[C@H](O)CN(C(=O)[C@H]2CCSc3ccccc32)C1
2607,NC(=O)[C@H]1C[C@H](O)CN(C(=O)[C@H]2CCSc3ccccc32)C1
2608,NC(=O)[C@@H]1C[C@@H](O)CN(C(=O)[C@H]2CCSc3ccccc32)C1
2609,NC(=O)[C@H]1C[C@@H](O)CN(C(=O)[C@H]2CCSc3ccccc32)C1
2610,C[C@@H]1CCN(C(=O)[C@@H]2CSc3ccc(F)cc32)C[C@@H]1C(N)=O
2611,C[C@H]1CCN(C(=O)[C@@H]2CSc3ccc(F)cc32)C[C@@H]1C(N)=O
2612,C[C@@H]1CCN(C(=O)[C@H]2CSc3ccc(F)cc32)C[C@@H]1C(N)=O
2613,C[C@H]1CCN(C(=O)[C@H]2CSc3ccc(F)cc32)C[C@@H]1C(N)=O
2614,C[C@@H]1CCN(C(=O)[C@@H]2CSc3ccc(F)cc32)C[C@H]1C(N)=O
2615,C[C@H]1CCN(C(=O)[C@@H]2CSc3ccc(F)cc32)C[C@H]1C(N)=O
2616,C[C@@H]1CCN(C(=O)[C@H]2CSc3ccc(F)cc32)C[C@H]1C(N)=O
2617,C[C@H]1CCN(C(=O)[C@H]2CSc3ccc(F)cc32)C[C@H]1C(N)=O
2618,NC(=O)[C@@H]1CN(C(=O)[C@@H]2CSc3ccc(F)cc32)CC[C@@H]1O
2619,NC(=O)[C@H]1CN(C(=O)[C@@H]2CSc3ccc(F)cc32)CC[C@@H]1O
2620,NC(=O)[C@@H]1CN(C(=O)[C@H]2CSc3ccc(F)cc32)CC[C@@H]1O
2621,NC(=O)[C@H]1CN(C(=O)[C@H]2CSc3ccc(F)cc32)CC[C@@H]1O
2622,NC(=O)[C@@H]1CN(C(=O)[C@@H]2CSc3ccc(F)cc32)CC[C@H]1O
2623,NC(=O)[C@H]1CN(C(=O)[C@@H]2CSc3ccc(F)cc32)CC[C@H]1O
2624,NC(=O)[C@@H]1CN(C(=O)[C@H]2CSc3ccc(F)cc32)CC[C@H]1O
2625,NC(=O)[C@H]1CN(C(=O)[C@H]2CSc3ccc(F)cc32)CC[C@H]1O
2626,CSc1cc(Cl)ccc1CC(=O)N1CC(=O)C[C@H](C(N)=O)C1
2627,CSc1cc(Cl)ccc1CC(=O)N1CC(=O)C[C@@H](C(N)=O)C1
2628,C[C@@H]1[C@H](C(N)=O)CCCN1C(=O)[C@@H]1CSc2ccc(F)cc21
2629,C[C@H]1[C@H](C(N)=O)CCCN1C(=O)[C@@H]1CSc2ccc(F)cc21
2630,C[C@@H]1[C@@H](C(N)=O)CCCN1C(=O)[C@@H]1CSc2ccc(F)cc21
2631,C[C@H]1[C@@H](C(N)=O)CCCN1C(=O)[C@@H]1CSc2ccc(F)cc21
2632,C[C@@H]1[C@H](C(N)=O)CCCN1C(=O)[C@H]1CSc2ccc(F)cc21
2633,C[C@H]1[C@H](C(N)=O)CCCN1C(=O)[C@H]1CSc2ccc(F)cc21
2634,C[C@@H]1[C@@H](C(N)=O)CCCN1C(=O)[C@H]1CSc2ccc(F)cc21
2635,C[C@H]1[C@@H](C(N)=O)CCCN1C(=O)[C@H]1CSc2ccc(F)cc21
2636,CNC(=O)[C@@H]1CCCN(C(=O)Cc2ccc(Cl)cc2SC)C1
2637,CNC(=O)[C@H]1CCCN(C(=O)Cc2ccc(Cl)cc2SC)C1
2638,CSc1cc(Cl)ccc1CC(=O)N1CCC[C@H](C(N)=O)[C@@H]1C
2639,CSc1cc(Cl)ccc1CC(=O)N1CCC[C@@H](C(N)=O)[C@@H]1C
2640,CSc1cc(Cl)ccc1CC(=O)N1CCC[C@H](C(N)=O)[C@H]1C
2641,CSc1cc(Cl)ccc1CC(=O)N1CCC[C@@H](C(N)=O)[C@H]1C
2642,NC(=O)[C@]1(O)CCCN(C(=O)[C@@H]2CCSc3ccccc32)C1
2643,NC(=O)[C@@]1(O)CCCN(C(=O)[C@@H]2CCSc3ccccc32)C1
2644,NC(=O)[C@]1(O)CCCN(C(=O)[C@H]2CCSc3ccccc32)C1
2645,NC(=O)[C@@]1(O)CCCN(C(=O)[C@H]2CCSc3ccccc32)C1
2646,CSc1cc(Cl)ccc1CC(=O)N1C[C@]2(C)C[C@]2(C(N)=O)C1
2647,CSc1cc(Cl)ccc1CC(=O)N1C[C@@]2(C)C[C@]2(C(N)=O)C1
2648,CSc1cc(Cl)ccc1CC(=O)N1C[C@]2(C)C[C@@]2(C(N)=O)C1
2649,CSc1cc(Cl)ccc1CC(=O)N1C[C@@]2(C)C[C@@]2(C(N)=O)C1
2650,NC(=O)[C@@H]1CN(C(=O)[C@@H]2CSc3cccc(F)c32)CC[C@@H]1O
2651,NC(=O)[C@H]1CN(C(=O)[C@@H]2CSc3cccc(F)c32)CC[C@@H]1O
2652,NC(=O)[C@@H]1CN(C(=O)[C@H]2CSc3cccc(F)c32)CC[C@@H]1O
2653,NC(=O)[C@H]1CN(C(=O)[C@H]2CSc3cccc(F)c32)CC[C@@H]1O
2654,NC(=O)[C@@H]1CN(C(=O)[C@@H]2CSc3cccc(F)c32)CC[C@H]1O
2655,NC(=O)[C@H]1CN(C(=O)[C@@H]2CSc3cccc(F)c32)CC[C@H]1O
2656,NC(=O)[C@@H]1CN(C(=O)[C@H]2CSc3cccc(F)c32)CC[C@H]1O
2657,NC(=O)[C@H]1CN(C(=O)[C@H]2CSc3cccc(F)c32)CC[C@H]1O
2658,CNC(=O)[C@]12C[C@@H]1CN(C(=O)Cc1ccc(Cl)cc1SC)C2
2659,CNC(=O)[C@@]12C[C@@H]1CN(C(=O)Cc1ccc(Cl)cc1SC)C2
2660,CNC(=O)[C@]12C[C@H]1CN(C(=O)Cc1ccc(Cl)cc1SC)C2
2661,CNC(=O)[C@@]12C[C@H]1CN(C(=O)Cc1ccc(Cl)cc1SC)C2
2662,CSc1cc(Cl)ccc1CC(=O)N1C[C@H](N)C[C@H](C(N)=O)C1
2663,CSc1cc(Cl)ccc1CC(=O)N1C[C@@H](N)C[C@H](C(N)=O)C1
2664,CSc1cc(Cl)ccc1CC(=O)N1C[C@H](N)C[C@@H](C(N)=O)C1
2665,CSc1cc(Cl)ccc1CC(=O)N1C[C@@H](N)C[C@@H](C(N)=O)C1
2666,CSc1cc(Cl)ccc1CC(=O)N[C@@H]1CNC[C@H](C(N)=O)C1
2667,CSc1cc(Cl)ccc1CC(=O)N[C@H]1CNC[C@H](C(N)=O)C1
2668,CSc1cc(Cl)ccc1CC(=O)N[C@@H]1CNC[C@@H](C(N)=O)C1
2669,CSc1cc(Cl)ccc1CC(=O)N[C@H]1CNC[C@@H](C(N)=O)C1
2670,CSc1cc(Cl)ccc1CC(=O)NNC(=O)[C@@H]1CCCNC1
2671,CSc1cc(Cl)ccc1CC(=O)NNC(=O)[C@H]1CCCNC1
2672,CSc1cc(Cl)ccc1CC(=O)N1CCC[C@H](C(=O)NN)C1
2673,CSc1cc(Cl)ccc1CC(=O)N1CCC[C@@H](C(=O)NN)C1
2674,CSc1cc(Cl)ccc1CC(=O)NNC(=O)[C@@H]1CN[C@@H]2C[C@@H]21
2675,CSc1cc(Cl)ccc1CC(=O)NNC(=O)[C@H]1CN[C@@H]2C[C@H]12
2676,CSc1cc(Cl)ccc1CC(=O)NNC(=O)[C@@H]1CN[C@H]2C[C@@H]21
2677,CSc1cc(Cl)ccc1CC(=O)NNC(=O)[C@H]1CN[C@H]2C[C@@H]21
2678,CSc1cc(Cl)ccc1CC(=O)NNC(=O)[C@@H]1CN[C@@H]2C[C@H]21
2679,CSc1cc(Cl)ccc1CC(=O)NNC(=O)[C@H]1CN[C@@H]2C[C@@H]12
2680,CSc1cc(Cl)ccc1CC(=O)NNC(=O)[C@@H]1CN[C@H]2C[C@H]21
2681,CSc1cc(Cl)ccc1CC(=O)NNC(=O)[C@H]1CN[C@H]2C[C@H]21
2682,NC(=O)[C@@H]1C[C@H](O)CN(C(=O)[C@@H]2CSc3cccc(O)c32)C1
