,1_product_smiles
66,NC(=O)[C@]12C[C@H]1CN(C(=O)[C@H]1CSc3c(Br)cccc31)C2
67,NC(=O)[C@@]12C[C@H]1CN(C(=O)[C@H]1CSc3c(Br)cccc31)C2
68,NC(=O)[C@@H]1CCCN(C(=O)[C@@H]2CSc3c(Br)cccc32)C1
69,NC(=O)[C@H]1CCCN(C(=O)[C@@H]2CSc3c(Br)cccc32)C1
70,NC(=O)[C@@H]1CCCN(C(=O)[C@H]2CSc3c(Br)cccc32)C1
71,NC(=O)[C@H]1CCCN(C(=O)[C@H]2CSc3c(Br)cccc32)C1
72,C[C@@H]1Sc2ccccc2[C@@H]1C(=O)N1CCC[C@H](C(N)=O)C1
73,C[C@H]1Sc2ccccc2[C@@H]1C(=O)N1CCC[C@H](C(N)=O)C1
74,C[C@@H]1Sc2ccccc2[C@H]1C(=O)N1CCC[C@H](C(N)=O)C1
75,C[C@H]1Sc2ccccc2[C@H]1C(=O)N1CCC[C@H](C(N)=O)C1
76,C[C@@H]1Sc2ccccc2[C@@H]1C(=O)N1CCC[C@@H](C(N)=O)C1
77,C[C@H]1Sc2ccccc2[C@@H]1C(=O)N1CCC[C@@H](C(N)=O)C1
78,C[C@@H]1Sc2ccccc2[C@H]1C(=O)N1CCC[C@@H](C(N)=O)C1
79,C[C@H]1Sc2ccccc2[C@H]1C(=O)N1CCC[C@@H](C(N)=O)C1
80,O=C1N[C@@H]2C[C@@H]1CN(C(=O)[C@@H]1CSc3c(Br)cccc31)C2
81,O=C1N[C@H]2C[C@@H]1CN(C(=O)[C@@H]1CSc3c(Br)cccc31)C2
82,O=C1N[C@@H]2C[C@H]1CN(C(=O)[C@@H]1CSc3c(Br)cccc31)C2
83,O=C1N[C@H]2C[C@H]1CN(C(=O)[C@@H]1CSc3c(Br)cccc31)C2
84,O=C1N[C@@H]2C[C@@H]1CN(C(=O)[C@H]1CSc3c(Br)cccc31)C2
85,O=C1N[C@H]2C[C@@H]1CN(C(=O)[C@H]1CSc3c(Br)cccc31)C2
86,O=C1N[C@@H]2C[C@H]1CN(C(=O)[C@H]1CSc3c(Br)cccc31)C2
87,O=C1N[C@H]2C[C@H]1CN(C(=O)[C@H]1CSc3c(Br)cccc31)C2
88,C[C@@H]1Sc2ccccc2[C@@H]1C(=O)N1C[C@@H]2C[C@]2(C(N)=O)C1
89,C[C@H]1Sc2ccccc2[C@@H]1C(=O)N1C[C@@H]2C[C@]2(C(N)=O)C1
90,C[C@@H]1Sc2ccccc2[C@H]1C(=O)N1C[C@@H]2C[C@]2(C(N)=O)C1
91,C[C@H]1Sc2ccccc2[C@H]1C(=O)N1C[C@@H]2C[C@]2(C(N)=O)C1
92,C[C@@H]1Sc2ccccc2[C@@H]1C(=O)N1C[C@H]2C[C@]2(C(N)=O)C1
93,C[C@H]1Sc2ccccc2[C@@H]1C(=O)N1C[C@H]2C[C@]2(C(N)=O)C1
94,C[C@@H]1Sc2ccccc2[C@H]1C(=O)N1C[C@H]2C[C@]2(C(N)=O)C1
95,C[C@H]1Sc2ccccc2[C@H]1C(=O)N1C[C@H]2C[C@]2(C(N)=O)C1
96,C[C@@H]1Sc2ccccc2[C@@H]1C(=O)N1C[C@@H]2C[C@@]2(C(N)=O)C1
97,C[C@H]1Sc2ccccc2[C@@H]1C(=O)N1C[C@@H]2C[C@@]2(C(N)=O)C1
98,C[C@@H]1Sc2ccccc2[C@H]1C(=O)N1C[C@@H]2C[C@@]2(C(N)=O)C1
99,C[C@H]1Sc2ccccc2[C@H]1C(=O)N1C[C@@H]2C[C@@]2(C(N)=O)C1
100,C[C@@H]1Sc2ccccc2[C@@H]1C(=O)N1C[C@H]2C[C@@]2(C(N)=O)C1
101,C[C@H]1Sc2ccccc2[C@@H]1C(=O)N1C[C@H]2C[C@@]2(C(N)=O)C1
102,C[C@@H]1Sc2ccccc2[C@H]1C(=O)N1C[C@H]2C[C@@]2(C(N)=O)C1
103,C[C@H]1Sc2ccccc2[C@H]1C(=O)N1C[C@H]2C[C@@]2(C(N)=O)C1
104,C[C@@H]1Sc2ccccc2[C@@H]1C(=O)N1C[C@H](C(N)=O)[C@@H]2C[C@@H]21
105,C[C@H]1Sc2ccccc2[C@@H]1C(=O)N1C[C@H](C(N)=O)[C@@H]2C[C@@H]21
106,C[C@@H]1Sc2ccccc2[C@H]1C(=O)N1C[C@H](C(N)=O)[C@@H]2C[C@@H]21
107,C[C@H]1Sc2ccccc2[C@H]1C(=O)N1C[C@H](C(N)=O)[C@@H]2C[C@@H]21
108,C[C@@H]1Sc2ccccc2[C@@H]1C(=O)N1C[C@@H](C(N)=O)[C@@H]2C[C@@H]21
109,C[C@H]1Sc2ccccc2[C@@H]1C(=O)N1C[C@@H](C(N)=O)[C@@H]2C[C@@H]21
110,C[C@@H]1Sc2ccccc2[C@H]1C(=O)N1C[C@@H](C(N)=O)[C@@H]2C[C@@H]21
111,C[C@H]1Sc2ccccc2[C@H]1C(=O)N1C[C@@H](C(N)=O)[C@@H]2C[C@@H]21
112,C[C@@H]1Sc2ccccc2[C@@H]1C(=O)N1C[C@H](C(N)=O)[C@H]2C[C@@H]21
113,C[C@H]1Sc2ccccc2[C@@H]1C(=O)N1C[C@H](C(N)=O)[C@H]2C[C@@H]21
