target-names,no-steps,concentration-required-mM,amount-required-uL,batch-tag,reactant-1-1,reactant-2-1,reaction-product-smiles-1,reaction-name-1,reaction-recipe-1,reaction-groupby-column-1
C122457,1,,,,NC(=O)C1CCCNC1,COc1cccc(Cl)c1N,COc1cccc(Cl)c1NC(=O)N1CCCC(C(N)=O)C1,Formation_of_urea_from_two_amines,,
C122466,1,,,,COc1ccccc1CC(=O)O,NC(=O)CC1CCNC1,COc1ccccc1CC(=O)N1CCC(CC(N)=O)C1,Amidation,,
C122467,1,,,,NC(=O)C1CCCNC1,COc1ncccc1CC(=O)O,COc1ncccc1CC(=O)N1CCCC(C(N)=O)C1,Amidation,,
C122467,1,,,,NC(=O)C1CCCNC1,COc1ncccc1CC(=O)O,COc1ncccc1CC(=O)N1CCCC(C(N)=O)C1,Amidation,,
C122467,1,,,,NC(=O)C1CCCNC1,COc1ncccc1CC(=O)O,COc1ncccc1CC(=O)N1CCCC(C(N)=O)C1,Amidation,,
C122467,1,,,,NC(=O)C1CCCNC1,COc1ncccc1CC(=O)O,COc1ncccc1CC(=O)N1CCCC(C(N)=O)C1,Amidation,,
C122496,1,,,,NC(=O)C1CCCNC1,CSc1ccccc1CC(=O)O,CSc1ccccc1CC(=O)N1CCCC(C(N)=O)C1,Amidation,,
C122549,1,,,,NC(=O)C1CCCNC1,CC1(C(=O)O)CCCCO1,CC1(C(=O)N2CCCC(C(N)=O)C2)CCCCO1,Amidation,,
C122550,1,,,,NC(=O)C1CCCNC1,COc1ccc(Cl)cc1CC(=O)O,COc1ccc(Cl)cc1CC(=O)N1CCCC(C(N)=O)C1,Amidation,,
C122551,1,,,,COc1ccccc1CC(=O)O,NC(=O)C1CNCC1C(F)(F)F,COc1ccccc1CC(=O)N1CC(C(N)=O)C(C(F)(F)F)C1,Amidation,,
C122552,1,,,,NC(=O)C1CCCNC1,COc1ccc(C(F)(F)F)cc1CC(=O)O,COc1ccc(C(F)(F)F)cc1CC(=O)N1CCCC(C(N)=O)C1,Amidation,,
C122466,1,,,,COc1ccccc1CC(=O)O,NC(=O)CC1CCNC1,COc1ccccc1CC(=O)N1CCC(CC(N)=O)C1,Amidation,,
C122457,1,,,,NC(=O)C1CCCNC1,COc1cccc(Cl)c1N,COc1cccc(Cl)c1NC(=O)N1CCCC(C(N)=O)C1,Formation_of_urea_from_two_amines,,
C122553,1,,,,NC(=O)C1CCCNC1,O=C(O)C1CCc2cccc(Br)c21,NC(=O)C1CCCN(C(=O)C2CCc3cccc(Br)c32)C1,Amidation,,
C122554,1,,,,NC(=O)C1CCCNC1,COc1cc(Cl)ccc1CC(=O)O,COc1cc(Cl)ccc1CC(=O)N1CCCC(C(N)=O)C1,Amidation,,
C122555,1,,,,NC(=O)C1CCCNC1,COc1ccccc1C(NC(C)=O)C(=O)O,COc1ccccc1C(NC(C)=O)C(=O)N1CCCC(C(N)=O)C1,Amidation,,
C122556,1,,,,NC(=O)C1CCCNC1,O=C(O)C(Cc1ccc(F)cc1)c1ccccc1,NC(=O)C1CCCN(C(=O)C(Cc2ccc(F)cc2)c2ccccc2)C1,Amidation,,
C122557,1,,,,NC(=O)C1CCCNC1,O=C(O)C1CCOc2ccc(Cl)cc21,NC(=O)C1CCCN(C(=O)C2CCOc3ccc(Cl)cc32)C1,Amidation,,
C122558,1,,,,NC(=O)C1CCCNC1,Cc1cc(C)c(CC(=O)O)c(=O)[nH]1,Cc1cc(C)c(CC(=O)N2CCCC(C(N)=O)C2)c(=O)[nH]1,Amidation,,
C122559,1,,,,NC(=O)C1CCCNC1,O=C(O)Cc1cnccc1C(F)(F)F,NC(=O)C1CCCN(C(=O)Cc2cnccc2C(F)(F)F)C1,Amidation,,
C122560,1,,,,NC(=O)C1CCCNC1,COc1ccc(NS(C)(=O)=O)cc1N,COc1ccc(NS(C)(=O)=O)cc1NC(=O)N1CCCC(C(N)=O)C1,Formation_of_urea_from_two_amines,,
C122561,1,,,,NC(=O)C1CCCNC1,Nc1ccccc1OCC(F)(F)F,NC(=O)C1CCCN(C(=O)Nc2ccccc2OCC(F)(F)F)C1,Formation_of_urea_from_two_amines,,
C122562,1,,,,NC(=O)C1CCCNC1,CCS(=O)(=O)c1ccc(OC)c(N)c1,CCS(=O)(=O)c1ccc(OC)c(NC(=O)N2CCCC(C(N)=O)C2)c1,Formation_of_urea_from_two_amines,,
C122563,1,,,,NC(=O)C1CCCNC1,O=C(O)Cc1ccccc1OC(F)F,NC(=O)C1CCCN(C(=O)Cc2ccccc2OC(F)F)C1,Amidation,,
C122564,1,,,,NC(=O)C1CCCNC1,N#CCc1ccccc1CC(=O)O,N#CCc1ccccc1CC(=O)N1CCCC(C(N)=O)C1,Amidation,,
C122565,1,,,,N,O=C(O)C1CCC(=O)N(Cc2cccc3c2OCC3)C1,NC(=O)C1CCC(=O)N(Cc2cccc3c2OCC3)C1,Amidation,,
C122566,1,,,,NC(=O)C1CCCNC1,CCc1ccccc1CC(=O)O,CCc1ccccc1CC(=O)N1CCCC(C(N)=O)C1,Amidation,,
C122567,1,,,,NC(=O)C1CCCNC1,Cc1ncccc1CC(=O)O,Cc1ncccc1CC(=O)N1CCCC(C(N)=O)C1,Amidation,,
C122568,1,,,,NC(=O)C1CCCNC1,CSc1cccc(CC(=O)O)c1,CSc1cccc(CC(=O)N2CCCC(C(N)=O)C2)c1,Amidation,,
C122569,1,,,,NC(=O)C1CCCNC1,O=C(O)Cc1cccc(Cl)c1Cl,NC(=O)C1CCCN(C(=O)Cc2cccc(Cl)c2Cl)C1,Amidation,,
C122467,1,,,,NC(=O)C1CCCNC1,COc1ncccc1CC(=O)O,COc1ncccc1CC(=O)N1CCCC(C(N)=O)C1,Amidation,,
C122570,1,,,,NC(=O)C1CCCNC1,O=C(O)Cc1cccc2c1OCCO2,NC(=O)C1CCCN(C(=O)Cc2cccc3c2OCCO3)C1,Amidation,,
C122571,1,,,,NC(=O)C1CCCNC1,O=C(O)Cc1cccnc1O,NC(=O)C1CCCN(C(=O)Cc2cccnc2O)C1,Amidation,,
