smiles,template,compound_set,hit1
CC1(C(=O)N2CCCC(C(N)=O)C2)CCCCO1,A3938a,P3_20241212,A3938a
COc1ccc(Cl)cc1CC(=O)N1CCCC(C(N)=O)C1,A3940a,P3_20241212,A3940a
COc1ccccc1CC(=O)N1CC(C(N)=O)C(C(F)(F)F)C1,A3990a,P3_20241212,A3990a
COc1ccc(C(F)(F)F)cc1CC(=O)N1CCCC(C(N)=O)C1,A4028a,P3_20241212,A4028a
COc1ccccc1CC(=O)N1CCC(CC(N)=O)C1,A4032a,P3_20241212,A4032a
COc1cccc(Cl)c1NC(=O)N1CCCC(C(N)=O)C1,A4035a,P3_20241212,A4035a
NC(=O)C1CCCN(C(=O)C2CCc3cccc(Br)c32)C1,A4202a,P3_20241212,A4202a
COc1cc(Cl)ccc1CC(=O)N1CCCC(C(N)=O)C1,A4203a,P3_20241212,A4203a
COc1ccccc1C(NC(C)=O)C(=O)N1CCCC(C(N)=O)C1,A4207a,P3_20241212,A4207a
NC(=O)C1CCCN(C(=O)C(Cc2ccc(F)cc2)c2ccccc2)C1,A4237a,P3_20241212,A4237a
NC(=O)C1CCCN(C(=O)C2CCOc3ccc(Cl)cc32)C1,A4260a,P3_20241212,A4260a
Cc1cc(C)c(CC(=O)N2CCCC(C(N)=O)C2)c(=O)[nH]1,A4291a,P3_20241212,A4291a
NC(=O)C1CCCN(C(=O)Cc2cnccc2C(F)(F)F)C1,A4292a,P3_20241212,A4292a
COc1ccc(NS(C)(=O)=O)cc1NC(=O)N1CCCC(C(N)=O)C1,A4304a,P3_20241212,A4304a
NC(=O)C1CCCN(C(=O)Nc2ccccc2OCC(F)(F)F)C1,A4306a,P3_20241212,A4306a
CCS(=O)(=O)c1ccc(OC)c(NC(=O)N2CCCC(C(N)=O)C2)c1,A4309a,P3_20241212,A4309a
NC(=O)C1CCCN(C(=O)Cc2ccccc2OC(F)F)C1,A4319a,P3_20241212,A4319a
N#CCc1ccccc1CC(=O)N1CCCC(C(N)=O)C1,A4321a,P3_20241212,A4321a
NC(=O)C1CCC(=O)N(Cc2cccc3c2OCC3)C1,A4324a,P3_20241212,A4324a
CCc1ccccc1CC(=O)N1CCCC(C(N)=O)C1,A4331a,P3_20241212,A4331a
Cc1ncccc1CC(=O)N1CCCC(C(N)=O)C1,A4333a,P3_20241212,A4333a
CSc1cccc(CC(=O)N2CCCC(C(N)=O)C2)c1,A4334a,P3_20241212,A4334a
NC(=O)C1CCCN(C(=O)Cc2cccc(Cl)c2Cl)C1,A4336a,P3_20241212,A4336a
COc1ncccc1CC(=O)N1CCCC(C(N)=O)C1,A4347a,P3_20241212,A4347a
NC(=O)C1CCCN(C(=O)Cc2cccc3c2OCCO3)C1,A4365a,P3_20241212,A4365a
NC(=O)C1CCCN(C(=O)Cc2cccnc2O)C1,A4372a,P3_20241212,A4372a
NC(=O)C1CCCN(C(=O)Cc2cc(C(F)(F)F)ccc2C(F)(F)F)C1,A4381a,P3_20241212,A4381a
